"","ISSN","ISSN2","title","peerreview"
"X.2324","8891-575","1096-0481","Journal of Food Composition and Analysis","Single blind"
"X.2325","2608-774",NA,"Journal of Food Engineering","Single blind"
"X.2326","1021-9498",NA,"Journal of Food and Drug Analysis","Single blind"
"X.2327","2212-4780",NA,"Journal of Forensic Radiology and Imaging","Single blind"
"X.2328","1752-928X",NA,"Journal of Forensic and Legal Medicine","Single blind"
"X.2329","1104-6899",NA,"Journal of Forest Economics","Single blind"
"X.2330","1872-5813",NA,"Journal of Fuel Chemistry and Technology","Single blind"
"X.2331","2212-36","1096-0783","Journal of Functional Analysis","Single blind"
"X.2332","1756-4646",NA,"Journal of Functional Foods","Single blind"
"X.2333","1687-157X",NA,"Journal of Genetic Engineering and Biotechnology","Single blind"
"X.2334","1673-8527",NA,"Journal of Genetics and Genomics","Single blind"
"X.2335","3756-742",NA,"Journal of Geochemical Exploration","Single blind"
"X.2336","2643-707",NA,"Journal of Geodynamics","Single blind"
"X.2337","3930-440",NA,"Journal of Geometry and Physics","Single blind"
"X.2338","1879-4068",NA,"Journal of Geriatric Oncology","Single blind"
"X.2339","1226-8453",NA,"Journal of Ginseng Research","Single blind"
"X.2340","2213-7165",NA,"Journal of Global Antimicrobial Resistance","Single blind"
"X.2342","2468-7847",NA,"Journal of Gynecology Obstetrics and Human Reproduction","Single blind"
"X.2343","2589-5141",NA,"Journal of Hand Surgery Global Online","Single blind"
"X.2344","8941-130",NA,"Journal of Hand Therapy","Single blind"
"X.2345","3043-894",NA,"Journal of Hazardous Materials","Single blind"
"X.2346","1676-296",NA,"Journal of Health Economics","Single blind"
"X.2347","2603-6479",NA,"Journal of Healthcare Quality Research","Single blind"
"X.2348","2210-8033",NA,"Journal of Herbal Medicine","Single blind"
"X.2349","2214-4048",NA,"Journal of High Energy Astrophysics","Single blind"
"X.2350","3057-488","1095-8614","Journal of Historical Geography","Single blind"
"X.2351","1956-701",NA,"Journal of Hospital Infection","Single blind"
"X.2352","1447-6770","1839-5260","Journal of Hospitality and Tourism Management","Single blind"
"X.2354","1051-1377","1096-0791","Journal of Housing Economics","Single blind"
"X.2355","4724-84","1095-8606","Journal of Human Evolution","Single blind"
"X.2356","1570-6443",NA,"Journal of Hydro-environment Research","Single blind"
"X.2357","2216-94",NA,"Journal of Hydrology","Single blind"
"X.2359","2217-59",NA,"Journal of Immunological Methods","Single blind"
"X.2360","2468-4988",NA,"Journal of Immunology and Regenerative Medicine","Single blind"
"X.2361","1561-8811","2213-3615","Journal of Indian College of Cardiology","Single blind"
"X.2362","2452-414X",NA,"Journal of Industrial Information Integration","Single blind"
"X.2363","1226-086X",NA,"Journal of Industrial and Engineering Chemistry","Single blind"
"X.2364","1634-453",NA,"Journal of Infection","Single blind"
"X.2365","1341-321X","1437-7780","Journal of Infection and Chemotherapy","Single blind"
"X.2366","1876-0341",NA,"Journal of Infection and Public Health","Single blind"
"X.2367","2214-2126",NA,"Journal of Information Security and Applications","Single blind"
"X.2368","1751-1577",NA,"Journal of Informetrics","Single blind"
"X.2369","1620-134",NA,"Journal of Inorganic Biochemistry","Single blind"
"X.2370","2219-10","2219-10","Journal of Insect Physiology","Single blind"
"X.2371","2315-4616",NA,"Journal of Integrative Medicine","Single blind"
"X.2372","1094-9968","1520-6653","Journal of Interactive Marketing","Single blind"
"X.2374","2219-96",NA,"Journal of International Economics","Single blind"
"X.2376","1075-4253",NA,"Journal of International Management","Single blind"
"X.2377","2615-606",NA,"Journal of International Money and Finance","Single blind"
"X.2378","2405-4526",NA,"Journal of Interprofessional Education & Practice","Single blind"
"X.2379","2220-11","1096-0805","Journal of Invertebrate Pathology","Single blind"
"X.2380","0022-202X","1523-1747","Journal of Investigative Dermatology","Single blind"
"X.2381","1087-0024","1529-1774","Journal of Investigative Dermatology Symposium Proceedings","Single blind"
"X.2382","1319-1578",NA,"Journal of King Saud University - Computer and Information Sciences","Single blind"
"X.2383","1018-3639",NA,"Journal of King Saud University - Engineering Sciences","Single blind"
"X.2384","1018-3647",NA,"Journal of King Saud University - Science","Single blind"
"X.2385","2352-2208",NA,"Journal of Logical and Algebraic Methods in Programming","Single blind"
"X.2386","9504-230",NA,"Journal of Loss Prevention in the Process Industries","Single blind"
"X.2387","2223-13",NA,"Journal of Luminescence","Single blind"
"X.2388","1640-704",NA,"Journal of Macroeconomics","Single blind"
"X.2389","2213-9567",NA,"Journal of Magnesium and Alloys","Single blind"
"X.2391","3048-853",NA,"Journal of Magnetism and Magnetic Materials","Single blind"
"X.2392","1526-6125",NA,"Journal of Manufacturing Processes","Single blind"
"X.2393","2786-125",NA,"Journal of Manufacturing Systems","Single blind"
"X.2394","9247-963",NA,"Journal of Marine Systems","Single blind"
"X.2395","9240-136",NA,"Journal of Materials Processing Technology","Single blind"
"X.2396","2238-7854",NA,"Journal of Materials Research and Technology","Single blind"
"X.2398","2352-8478",NA,"Journal of Materiomics","Single blind"
"X.2399","0022-247X","1096-0813","Journal of Mathematical Analysis and Applications","Single blind"
"X.2400","3044-068",NA,"Journal of Mathematical Economics","Single blind"
"X.2401","2224-96","1096-0880","Journal of Mathematical Psychology","Single blind"
"X.2402","1939-8654",NA,"Journal of Medical Imaging and Radiation Sciences","Single blind"
"X.2403","3767-388",NA,"Journal of Membrane Science","Single blind"
"X.2404","0749-596X","1096-0821","Journal of Memory and Language","Single blind"
"X.2405","1677-012",NA,"Journal of Microbiological Methods","Single blind"
"X.2407","1553-4650",NA,"Journal of Minimally Invasive Gynecology","Single blind"
"X.2408","2228-36","1089-8638","Journal of Molecular Biology","Single blind"
"X.2410","1677-322",NA,"Journal of Molecular Liquids","Single blind"
"X.2411","2228-52","1096-083X","Journal of Molecular Spectroscopy","Single blind"
"X.2412","2228-60","2228-60","Journal of Molecular Structure","Single blind"
"X.2413","2228-28","1095-8584","Journal of Molecular and Cellular Cardiology","Single blind"
"X.2414","3043-932",NA,"Journal of Monetary Economics","Single blind"
"X.2415","1042-444X",NA,"Journal of Multinational Financial Management","Single blind"
"X.2416","0047-259X","1095-7243","Journal of Multivariate Analysis","Single blind"
"X.2417","2468-256X",NA,"Journal of Natural Gas Geoscience","Single blind"
"X.2418","1875-5100",NA,"Journal of Natural Gas Science and Engineering","Single blind"
"X.2419","1355-1841",NA,"Journal of Neonatal Nursing","Single blind"
"X.2420","1084-8045","1095-8592","Journal of Network and Computer Applications","Single blind"
"X.2421","1655-728",NA,"Journal of Neuroimmunology","Single blind"
"X.2422","9116-044",NA,"Journal of Neurolinguistics","Single blind"
"X.2423","1509-861",NA,"Journal of Neuroradiology","Single blind"
"X.2424","1650-270",NA,"Journal of Neuroscience Methods","Single blind"
"X.2425","2230-93",NA,"Journal of Non-Crystalline Solids","Single blind"
"X.2426","3770-257",NA,"Journal of Non-Newtonian Fluid Mechanics","Single blind"
"X.2427","2231-15","2231-15","Journal of Nuclear Materials","Single blind"
"X.2428","0022-314X","1096-1658","Journal of Number Theory","Single blind"
"X.2430","1499-4046",NA,"Journal of Nutrition Education and Behavior","Single blind"
"X.2431","2211-3649",NA,"Journal of Obsessive-Compulsive and Related Disorders","Single blind"
"X.2432","1701-2163",NA,"Journal of Obstetrics and Gynaecology Canada","Single blind"
"X.2433","2468-0133",NA,"Journal of Ocean Engineering and Science","Single blind"
"X.2434","2452-3364",NA,"Journal of Oncological Sciences","Single blind"
"X.2435","2726-963","1873-1317","Journal of Operations Management","Single blind"
"X.2436","1888-4296","1989-1342","Journal of Optometry","Single blind"
"X.2437","2212-4268",NA,"Journal of Oral Biology and Craniofacial Research","Single blind"
"X.2438","1349-0079","1880-3865","Journal of Oral Biosciences","Single blind"
"X.2439","2782-391",NA,"Journal of Oral and Maxillofacial Surgery","Single blind"
"X.2441","0022-328X","0022-328X","Journal of Organometallic Chemistry","Single blind"
"X.2442","9492-658","1436-2023","Journal of Orthopaedic Science","Single blind"
"X.2444","0972-978X",NA,"Journal of Orthopaedics","Single blind"
"X.2446","1672-2930",NA,"Journal of Otology","Single blind"
"X.2448","8853-924",NA,"Journal of Pain and Symptom Management","Single blind"
"X.2449","7437-315","1096-0848","Journal of Parallel and Distributed Computing","Single blind"
"X.2450","8915-245",NA,"Journal of Pediatric Health Care","Single blind"
"X.2451","8825-963",NA,"Journal of Pediatric Nursing","Single blind"
"X.2452","2234-68","1531-5037","Journal of Pediatric Surgery","Single blind"
"X.2453","2213-5766",NA,"Journal of Pediatric Surgery Case Reports","Single blind"
"X.2454","1477-5131",NA,"Journal of Pediatric Urology","Single blind"
"X.2455","1089-9472",NA,"Journal of PeriAnesthesia Nursing","Single blind"
"X.2456","9204-105",NA,"Journal of Petroleum Science and Engineering","Single blind"
"X.2457","2095-1779",NA,"Journal of Pharmaceutical Analysis","Single blind"
"X.2458","2235-49","1520-6017","Journal of Pharmaceutical Sciences","Single blind"
"X.2459","7317-085",NA,"Journal of Pharmaceutical and Biomedical Analysis","Single blind"
"X.2460","1347-8613","1347-8648","Journal of Pharmacological Sciences","Single blind"
"X.2461","1056-8719",NA,"Journal of Pharmacological and Toxicological Methods","Single blind"
"X.2468","1836-9553",NA,"Journal of Physiotherapy","Single blind"
"X.2469","1761-617",NA,"Journal of Plant Physiology","Single blind"
"X.2470","3787-753","3787-753","Journal of Power Sources","Single blind"
"X.2472","9591-524",NA,"Journal of Process Control","Single blind"
"X.2473","8755-7223",NA,"Journal of Professional Nursing","Single blind"
"X.2474","2239-13",NA,"Journal of Prosthetic Dentistry","Single blind"
"X.2475","1883-1958",NA,"Journal of Prosthodontic Research","Single blind"
"X.2476","1874-3919",NA,"Journal of Proteomics","Single blind"
"X.2477","2239-56",NA,"Journal of Psychiatric Research","Single blind"
"X.2479","4727-27",NA,"Journal of Public Economics","Single blind"
"X.2481","2240-49",NA,"Journal of Pure and Applied Algebra","Single blind"
"X.2483","1687-8507","1687-8507","Journal of Radiation Research and Applied Sciences","Single blind"
"X.2484","1546-0843",NA,"Journal of Radiology Nursing","Single blind"
"X.2485","2210-9706",NA,"Journal of Rail Transport Planning & Management","Single blind"
"X.2486","1002-0721",NA,"Journal of Rare Earths","Single blind"
"X.2487","1051-2276","1532-8503","Journal of Renal Nutrition","Single blind"
"X.2488","1650-378",NA,"Journal of Reproductive Immunology","Single blind"
"X.2490","2243-59",NA,"Journal of Retailing","Single blind"
"X.2491","9696-989",NA,"Journal of Retailing and Consumer Services","Single blind"
"X.2492","1674-7755",NA,"Journal of Rock Mechanics and Geotechnical Engineering","Single blind"
"X.2493","1882-4560","2187-2627","Journal of Rural Studies","Single blind"
"X.2494","2243-75",NA,"Journal of Safety Research","Single blind"
"X.2495","1319-6103",NA,"Journal of Saudi Chemical Society","Single blind"
"X.2496","2244-05",NA,"Journal of School Psychology","Single blind"
"X.2497","1440-2440",NA,"Journal of Science and Medicine in Sport","Single blind"
"X.2501","2245-96","1095-726X","Journal of Solid State Chemistry","Single blind"
"X.2502","0022-460X","1095-8568","Journal of Sound and Vibration","Single blind"
"X.2503","8959-811",NA,"Journal of South American Earth Sciences","Single blind"
"X.2504","2468-8967",NA,"Journal of Space Safety Engineering","Single blind"
"X.2505","2095-2546",NA,"Journal of Sport and Health Science","Single blind"
"X.2506","3783-758",NA,"Journal of Statistical Planning and Inference","Single blind"
"X.2508","0022-474X",NA,"Journal of Stored Products Research","Single blind"
"X.2509","1047-8477","1095-8657","Journal of Structural Biology","Single blind"
"X.2510","1918-141",NA,"Journal of Structural Geology","Single blind"
"X.2511","7405-472",NA,"Journal of Substance Abuse Treatment","Single blind"
"X.2512","1931-7204",NA,"Journal of Surgical Education","Single blind"
"X.2513","2248-04","1095-8673","Journal of Surgical Research","Single blind"
"X.2514","2300-3960",NA,"Journal of Sustainable Mining","Single blind"
"X.2515","7477-171","1095-855X","Journal of Symbolic Computation","Single blind"
"X.2516","1383-7621",NA,"Journal of Systems Architecture","Single blind"
"X.2517","1641-212",NA,"Journal of Systems and Software","Single blind"
"X.2518","1658-3612",NA,"Journal of Taibah University Medical Sciences","Single blind"
"X.2519","2248-98",NA,"Journal of Terramechanics","Single blind"
"X.2521","1072-7515",NA,"Journal of The American College of Surgeons","Single blind"
"X.2522","8947-317",NA,"Journal of The American Society of Echocardiography","Single blind"
"X.2523","1600-32",NA,"Journal of The Franklin Institute","Single blind"
"X.2524","2251-93","1095-8541","Journal of Theoretical Biology","Single blind"
"X.2525","3064-565",NA,"Journal of Thermal Biology","Single blind"
"X.2526","1556-0864",NA,"Journal of Thoracic Oncology","Single blind"
"X.2527","0965-206X",NA,"Journal of Tissue Viability","Single blind"
"X.2528","0946-672X",NA,"Journal of Trace Elements in Medicine and Biology","Single blind"
"X.2529","2095-7548",NA,"Journal of Traditional Chinese Medical Sciences","Single blind"
"X.2530","2546-272",NA,"Journal of Traditional Chinese Medicine","Single blind"
"X.2532","2095-7564",NA,"Journal of Traffic and Transportation Engineering (English Edition)","Single blind"
"X.2533","2214-1405",NA,"Journal of Transport & Health","Single blind"
"X.2534","9666-923",NA,"Journal of Transport Geography","Single blind"
"X.2535","9411-90","1095-9068","Journal of Urban Economics","Single blind"
"X.2536","2226-5856",NA,"Journal of Urban Management","Single blind"
"X.2537","1062-0303",NA,"Journal of Vascular Nursing","Single blind"
"X.2538","1558-7878",NA,"Journal of Veterinary Behavior","Single blind"
"X.2539","1660-934",NA,"Journal of Virological Methods","Single blind"
"X.2542","1879-1","1095-9084","Journal of Vocational Behavior","Single blind"
"X.2543","8921-997",NA,"Journal of Voice","Single blind"
"X.2544","3770-273",NA,"Journal of Volcanology and Geothermal Research","Single blind"
